City,Locality,Area_sqft,Bedrooms,Bathrooms,Balconies,Parking,Floor,Total_Floors,Property_Age,Furnishing,Facing,Gated_Society,Lift,Power_Backup,Security,Gym,Swimming_Pool,Metro_Distance_km,Hospital_Distance_km,School_Distance_km,Mall_Distance_km,Expressway_Distance_km,RRTS_Distance_km,Price_INR
Gurugram,DLF Phase 3,3675,1,2,0,No,7,14,14,Semi-Furnished,East,Yes,Yes,No,Yes,Yes,Yes,3.42,0.74,4.69,3.84,7.74,13.75,51821857
Delhi,Rohini,1181,5,5,0,Yes,19,26,11,Semi-Furnished,East,No,Yes,Yes,No,No,Yes,0.63,3.6,3.22,8.16,10.37,18.84,17129495
Ghaziabad,Indirapuram,4336,3,3,0,No,16,21,21,Semi-Furnished,West,Yes,Yes,No,No,No,Yes,8.16,7.24,3.77,3.36,8.31,0.51,27765585
Ghaziabad,Kaushambi,2934,3,3,3,No,21,25,16,Semi-Furnished,South,No,Yes,Yes,Yes,Yes,No,8.11,1.95,1.35,0.73,3.82,9.77,25183051
Ghaziabad,Crossings Republik,4079,5,4,3,No,12,20,4,Semi-Furnished,West,Yes,Yes,Yes,Yes,Yes,No,0.7,2.14,5.12,4.84,12.06,13.52,32863253
Ghaziabad,Kaushambi,3788,5,5,3,Yes,23,30,15,Semi-Furnished,West,Yes,Yes,No,Yes,No,No,1.02,2.43,1.78,3.54,8.19,3.2,25158119
Greater Noida,Beta 2,3343,2,1,3,No,10,28,14,Semi-Furnished,West,Yes,Yes,No,Yes,No,No,0.17,2.94,4.57,8.61,14.31,8.67,34581842
Ghaziabad,Vaishali,1567,4,4,0,No,10,23,23,Unfurnished,North,No,Yes,Yes,No,Yes,Yes,7.75,1.26,2.88,0.98,5.81,4.63,10839435
Ghaziabad,Raj Nagar,3530,4,4,0,No,0,24,17,Unfurnished,South,Yes,Yes,Yes,No,Yes,Yes,2.47,0.36,1.08,1.7,10.11,11.5,23077606
Greater Noida,Gamma 1,3591,3,2,0,Yes,9,13,18,Unfurnished,South,Yes,Yes,Yes,No,No,No,1.31,6.23,5.13,6.2,1.99,19.68,22328015
Faridabad,NIT,3159,3,2,2,Yes,13,29,3,Semi-Furnished,East,No,Yes,Yes,No,No,Yes,7.43,7.37,4.69,4.92,12.42,12.05,20000220
Delhi,Rohini,4061,4,3,3,No,10,11,15,Fully Furnished,East,No,Yes,No,Yes,No,Yes,3.43,4.85,5.3,5.78,7.85,4.23,54746935
Ghaziabad,Kaushambi,3555,2,2,3,No,25,26,2,Unfurnished,East,No,Yes,No,No,Yes,No,5.16,6.02,2.12,7.18,4.21,5.4,20135048
Gurugram,DLF Phase 1,3492,5,4,1,Yes,23,27,8,Semi-Furnished,East,No,Yes,Yes,No,Yes,Yes,2.24,0.31,3.3,3.11,14.62,11.29,40014103
Delhi,Dwarka,2801,3,3,3,No,10,16,1,Unfurnished,North,No,Yes,No,No,Yes,Yes,6.97,5.55,1.08,8.21,14.25,2.16,37796276
Faridabad,NIT,2933,5,4,3,No,14,24,18,Fully Furnished,East,Yes,Yes,Yes,No,Yes,Yes,7.96,1.43,1.21,1.21,0.24,9.28,23317033
Gurugram,DLF Phase 1,1398,3,3,3,Yes,21,25,8,Semi-Furnished,East,Yes,Yes,Yes,Yes,No,Yes,9.94,0.76,1.16,3.42,11.28,11.6,20763715
Delhi,Saket,3270,3,3,2,No,14,17,19,Unfurnished,South,Yes,Yes,Yes,No,No,No,11.55,6.72,3.54,9.53,14.99,13.61,43951421
Noida,Sector 78,2575,4,4,1,No,20,28,2,Semi-Furnished,East,Yes,Yes,Yes,No,No,No,5,4.06,4.04,4.3,11.46,1.22,22041165
Gurugram,Golf Course Road,924,4,3,3,No,1,8,16,Semi-Furnished,South,Yes,Yes,No,No,No,Yes,11.14,3.62,4.25,1.65,14.6,12.37,12958223
Gurugram,Sohna Road,506,5,5,0,Yes,3,18,3,Semi-Furnished,West,No,Yes,No,Yes,No,No,11.76,2.1,3.4,4.14,13.84,10.41,7028818
Gurugram,Sector 57,1842,5,5,0,No,23,26,18,Semi-Furnished,East,No,Yes,No,No,Yes,No,6.67,4.44,2.84,3.56,2.99,14.1,28453523
Ghaziabad,Indirapuram,1753,4,4,3,Yes,15,16,4,Semi-Furnished,North,Yes,Yes,No,No,Yes,No,8.7,3.4,4,1.97,7.15,19.4,13778240
Greater Noida,Alpha 1,3938,3,3,2,No,17,18,19,Unfurnished,North,No,Yes,Yes,No,Yes,Yes,5.38,5.61,5.44,0.94,11.98,6.22,34701875
Noida,Sector 137,2625,4,3,1,Yes,2,22,12,Semi-Furnished,East,Yes,Yes,No,Yes,No,Yes,5.57,5.4,5.41,4.92,4.46,11.16,22389499
Gurugram,Sohna Road,1675,4,4,3,No,6,19,15,Unfurnished,West,No,Yes,Yes,No,No,No,3.37,4.61,4.18,7.57,0.93,12.32,28714442
Noida,Sector 50,3734,3,2,1,No,21,24,20,Unfurnished,South,Yes,Yes,No,Yes,No,No,1.17,2.5,4.54,2.17,2.16,11.02,38851676
Faridabad,Sector 37,3851,2,2,3,No,23,30,10,Fully Furnished,East,Yes,Yes,No,No,Yes,Yes,1.17,3.28,1.73,1.67,5.66,15.11,24070291
Greater Noida,Gamma 1,893,2,2,0,No,19,23,20,Unfurnished,North,Yes,Yes,Yes,No,No,No,11.36,2.57,3.06,1.42,13.33,3.15,8607955
Greater Noida,Pari Chowk,2166,5,4,3,Yes,15,25,13,Fully Furnished,West,Yes,Yes,No,No,Yes,No,11.41,6.87,0.78,7.01,8.26,19.57,20453690
Ghaziabad,Raj Nagar,1227,1,2,0,Yes,20,30,0,Unfurnished,South,Yes,Yes,Yes,No,Yes,Yes,7.08,6.54,1.55,7.86,11.87,12.12,8781077
Noida,Sector 50,1476,2,1,0,Yes,0,12,25,Semi-Furnished,South,No,Yes,Yes,No,Yes,Yes,8.93,4.3,4.52,5.02,11.71,10.51,12447992
Faridabad,Sector 21,4322,5,4,2,No,20,21,1,Fully Furnished,North,No,Yes,No,No,No,Yes,10.8,2.71,1.06,1.7,9.44,11.91,34883915
Ghaziabad,Kaushambi,2623,3,3,3,Yes,25,26,20,Semi-Furnished,East,Yes,Yes,No,Yes,No,No,9.95,3.31,4.43,3.47,4.83,5.47,24077922
Greater Noida,Knowledge Park,724,1,1,0,No,3,27,23,Semi-Furnished,East,Yes,Yes,No,Yes,Yes,No,10.5,7.54,2.65,9.2,0.96,6.11,6172171
Delhi,Pitampura,2528,2,1,3,Yes,3,15,17,Semi-Furnished,North,Yes,Yes,No,No,Yes,No,2.25,5.68,1.99,3.73,0.29,17.46,40226779
Noida,Sector 62,825,5,4,3,No,14,25,5,Semi-Furnished,North,Yes,Yes,Yes,No,Yes,Yes,8.12,2.32,4.04,5.11,6.74,5.83,14201268
Delhi,Rohini,2210,1,2,3,No,1,9,12,Fully Furnished,South,No,Yes,Yes,Yes,Yes,Yes,9.19,2.46,0.9,5.23,6.57,3.02,40054827
Faridabad,Green Fields,3863,3,2,3,Yes,13,14,14,Fully Furnished,North,No,Yes,No,No,No,No,4.92,7.74,1.2,9.5,7.01,13.95,23902887
Ghaziabad,Indirapuram,1446,4,4,0,No,9,20,7,Semi-Furnished,East,Yes,Yes,No,Yes,Yes,Yes,8.76,6.59,4.93,2.74,2.37,4.35,12917873
Greater Noida,Alpha 1,1175,4,4,3,No,20,26,4,Semi-Furnished,East,No,Yes,Yes,No,No,No,6.14,2.62,2.82,1.04,12.51,2,9294223
Ghaziabad,Crossings Republik,2827,5,4,3,Yes,10,30,15,Semi-Furnished,South,No,Yes,Yes,Yes,No,Yes,0.57,5.72,5.95,5.48,9.23,7.6,27086563
Ghaziabad,Crossings Republik,3622,3,2,2,Yes,10,14,17,Semi-Furnished,South,No,Yes,Yes,No,No,Yes,11.01,2.62,4.01,6.79,2.11,14.32,20416074
Faridabad,NIT,3085,3,2,0,No,16,22,0,Semi-Furnished,South,No,Yes,Yes,Yes,Yes,No,12,1.41,1.92,7.99,7.71,11.03,25268841
Delhi,Rohini,4039,5,4,3,Yes,5,11,22,Semi-Furnished,South,No,Yes,No,Yes,No,Yes,11.64,4.96,4.56,7.95,3.66,5.16,68643557
Gurugram,Sohna Road,4482,4,4,2,No,16,25,13,Fully Furnished,East,Yes,Yes,No,Yes,Yes,No,6.7,1,5.11,8.59,4.42,15.38,60619348
Faridabad,Sector 21,3853,4,3,1,No,11,12,13,Unfurnished,South,Yes,Yes,No,No,Yes,No,0.44,7.46,5.07,6.67,11.91,3.18,24253784
Greater Noida,Beta 2,3558,4,4,0,Yes,0,9,6,Fully Furnished,North,Yes,Yes,No,No,Yes,No,0.67,3.47,4.8,4.84,1.84,18.15,37796245
Greater Noida,Pari Chowk,2805,2,1,2,No,0,20,11,Unfurnished,North,No,Yes,Yes,No,Yes,Yes,4.75,3.87,3.89,9.82,3.95,0.82,17831768
Noida,Sector 62,3610,5,5,1,Yes,11,29,10,Fully Furnished,North,Yes,Yes,Yes,Yes,No,No,8.62,7.56,0.41,2.42,11.91,17.77,37252126
Faridabad,NIT,3789,5,5,2,Yes,24,30,6,Unfurnished,West,Yes,Yes,No,Yes,No,No,10.68,6,5.39,4.17,14.61,10.18,27039075
Faridabad,Sector 37,3731,1,2,0,No,19,22,17,Unfurnished,West,No,Yes,No,Yes,Yes,No,7.27,3.52,4.2,3.84,0.83,17.47,22189200
Gurugram,DLF Phase 1,757,4,4,1,Yes,4,24,21,Semi-Furnished,East,Yes,Yes,No,Yes,Yes,Yes,4.66,4.62,3.71,6.95,14.24,7.75,8967130
Faridabad,Sector 37,2080,3,3,1,Yes,0,24,5,Semi-Furnished,South,No,Yes,No,No,Yes,No,11.96,2.43,5.52,5.17,2.02,17.13,14422166
Delhi,Rohini,2080,4,4,3,Yes,4,15,20,Unfurnished,West,Yes,Yes,Yes,No,No,Yes,6.08,6.97,5.02,5.42,4.7,3.66,27929182
Faridabad,Sector 37,3914,1,2,1,No,4,25,9,Semi-Furnished,North,Yes,Yes,No,Yes,Yes,Yes,9.92,0.42,0.46,6.59,8.74,13.2,31756732
Ghaziabad,Kaushambi,3067,1,2,2,No,15,19,25,Fully Furnished,South,Yes,Yes,Yes,No,No,No,5.33,3.98,1.38,6.26,4.83,14.51,24981763
Ghaziabad,Vaishali,3565,3,2,2,Yes,14,18,8,Semi-Furnished,West,No,Yes,No,Yes,Yes,Yes,3.05,6.95,1.13,3.61,8.75,6.6,30583790
Ghaziabad,Kaushambi,2362,4,4,3,Yes,2,15,16,Semi-Furnished,East,Yes,Yes,Yes,Yes,Yes,No,5.99,7.08,3.99,4.97,8.14,17.02,17409811
Gurugram,Golf Course Road,3578,4,4,0,No,1,20,17,Unfurnished,North,No,Yes,No,No,Yes,No,1.63,0.95,2.36,9.87,8.46,7.63,39839668
Faridabad,Green Fields,2094,5,4,0,Yes,4,27,10,Fully Furnished,South,No,Yes,No,No,Yes,Yes,4.78,5.01,5.09,6.14,7.71,10.44,16880501
Gurugram,Sector 57,3791,1,2,2,Yes,13,23,25,Fully Furnished,West,Yes,Yes,Yes,Yes,No,No,2.13,5.11,3.79,8.49,2.39,13.77,34608314
Noida,Sector 62,2256,3,3,1,No,22,26,13,Semi-Furnished,West,Yes,Yes,No,No,Yes,Yes,6.35,2.65,1.2,9.17,5.27,7.41,31763351
Faridabad,NIT,1237,2,2,2,Yes,9,19,22,Unfurnished,East,No,Yes,No,No,No,No,1.55,5.48,2.4,9.81,12.31,19.11,9513597
Gurugram,DLF Phase 1,1628,1,2,3,No,23,27,6,Unfurnished,South,Yes,Yes,Yes,No,No,Yes,0.7,7.26,1.51,2.71,1.68,6.94,27463949
Greater Noida,Beta 2,471,5,4,3,No,15,26,6,Semi-Furnished,South,Yes,Yes,Yes,No,No,No,6.47,5.84,5.63,9.18,2.79,17.7,4994950
Ghaziabad,Crossings Republik,1213,3,2,0,No,18,28,3,Fully Furnished,West,No,Yes,Yes,No,No,No,3.35,6.51,2.12,7.45,9.79,14.51,8039116
Gurugram,Sohna Road,3212,2,1,3,No,16,22,2,Semi-Furnished,South,No,Yes,No,Yes,Yes,Yes,0.18,3.19,2.79,3.04,5.08,11.86,29879560
Greater Noida,Gamma 1,3287,2,1,0,No,9,15,12,Semi-Furnished,South,No,Yes,Yes,No,Yes,No,11.49,3.93,2.84,9.89,5.73,14.19,31883715
Greater Noida,Beta 2,3570,2,1,3,No,2,21,3,Unfurnished,North,No,Yes,No,Yes,Yes,Yes,8.2,5.79,3.04,9.04,6.79,1.58,25066958
Ghaziabad,Crossings Republik,2759,1,2,2,Yes,12,21,0,Semi-Furnished,North,No,Yes,Yes,Yes,Yes,No,11.22,0.74,5.62,0.8,6.25,15.49,23728786
Gurugram,Sector 57,2287,4,4,0,Yes,20,26,3,Unfurnished,East,Yes,Yes,Yes,No,Yes,Yes,5.61,5.81,2.66,4.1,3.6,9.48,27678846
Faridabad,Green Fields,3614,3,2,2,Yes,21,30,7,Semi-Furnished,North,No,Yes,No,No,Yes,Yes,11.67,7.54,4.09,7.97,4.92,8.62,20200065
Ghaziabad,Vaishali,3540,5,5,1,Yes,9,14,25,Semi-Furnished,South,Yes,Yes,No,Yes,No,No,3.13,2.78,0.66,4.77,5.69,10.94,31199248
Delhi,Rohini,1994,5,4,0,Yes,25,30,23,Semi-Furnished,North,No,Yes,No,Yes,No,Yes,2.62,1.68,4.5,7.6,11.36,18.33,26543297
Noida,Sector 50,1767,3,3,3,No,9,18,11,Semi-Furnished,South,No,Yes,No,No,No,Yes,4.51,3.43,3.46,2.6,2.36,5.59,22306852
Gurugram,DLF Phase 3,1253,3,2,3,Yes,15,24,20,Fully Furnished,South,No,Yes,No,No,No,No,8.82,2.95,1.01,5.69,2.92,17.84,13254677
Delhi,Dwarka,4321,1,1,3,Yes,20,24,2,Semi-Furnished,West,No,Yes,Yes,Yes,Yes,No,7.95,0.32,3.29,4.41,0.45,14.58,77715646
Delhi,Pitampura,3780,4,3,0,Yes,16,19,7,Unfurnished,East,No,Yes,Yes,No,No,No,11.52,3.78,1.61,7.12,4.64,16.65,39676047
Delhi,Saket,2003,4,4,0,Yes,22,25,2,Semi-Furnished,South,Yes,Yes,Yes,No,No,Yes,10.83,5.6,3.49,3.08,13.88,13.85,30365596
Faridabad,Sector 15,1184,3,2,1,Yes,24,30,12,Fully Furnished,West,No,Yes,No,No,Yes,Yes,9.09,1.29,5.93,7.38,7.61,19.5,7042157
Ghaziabad,Vaishali,3885,1,2,3,No,0,21,8,Semi-Furnished,West,No,Yes,No,No,No,Yes,2.31,4.77,2.4,7.84,4.57,5.31,21089231
Gurugram,DLF Phase 3,2006,2,2,2,No,3,6,0,Fully Furnished,North,Yes,Yes,Yes,No,No,No,2.33,3.7,3.42,4.38,0.59,7.4,22408923
Ghaziabad,Indirapuram,1645,4,4,0,Yes,18,27,5,Semi-Furnished,West,No,Yes,No,Yes,Yes,No,1.84,1.5,1.8,3.35,11.78,7.54,16682551
Greater Noida,Knowledge Park,2882,5,4,3,Yes,4,14,0,Fully Furnished,West,No,Yes,No,No,No,No,9.8,6.9,5.85,1.79,4.95,18.97,23596446
Noida,Sector 150,1441,3,2,3,No,2,17,19,Semi-Furnished,North,No,Yes,Yes,No,No,Yes,9.25,5.33,2.26,6.65,0.86,19.68,19071168
Gurugram,Sector 57,883,1,1,2,Yes,16,28,16,Semi-Furnished,South,No,Yes,No,Yes,No,No,4.21,0.39,0.81,4.45,14.43,2.76,9780241
Gurugram,Golf Course Road,2315,2,2,2,No,3,18,23,Semi-Furnished,North,Yes,Yes,Yes,No,Yes,No,10.21,5.25,4.13,2.06,14.76,5.26,27401209
Noida,Sector 150,2743,4,4,1,No,20,23,5,Semi-Furnished,West,Yes,Yes,No,No,No,Yes,4.73,5.7,1.39,7.65,12.17,1.72,24344256
Noida,Sector 150,1785,2,2,0,No,21,29,16,Fully Furnished,East,Yes,Yes,No,No,No,No,10.16,5.02,4.92,7.21,4.6,12.48,14514698
Gurugram,DLF Phase 1,1427,3,2,1,No,22,25,16,Semi-Furnished,South,Yes,Yes,No,Yes,No,No,6.7,4.02,1.01,3.49,6.87,1.55,20993211
Ghaziabad,Vaishali,1249,4,4,3,No,13,28,15,Unfurnished,South,Yes,Yes,No,Yes,Yes,No,6.5,1.51,2.85,7.55,11.54,11.22,7812795
Gurugram,Sohna Road,3822,3,2,3,Yes,13,17,23,Fully Furnished,East,No,Yes,No,Yes,No,Yes,10.36,0.88,5.22,1.62,12.22,4.59,55838499
Noida,Sector 50,1020,2,1,0,No,17,22,19,Semi-Furnished,South,No,Yes,Yes,No,No,No,11.56,6.33,5.53,9.93,13.03,2.97,8222351
Noida,Sector 150,3843,2,2,3,Yes,18,29,8,Semi-Furnished,East,Yes,Yes,No,No,No,Yes,8.37,7.04,2.84,5.14,8.81,17.44,54762909
Greater Noida,Knowledge Park,3050,3,2,3,Yes,13,20,15,Unfurnished,North,No,Yes,No,No,No,Yes,0.65,5.08,5.05,0.65,13.96,3.58,28902367
Ghaziabad,Vaishali,3270,2,2,1,No,2,23,11,Unfurnished,South,No,Yes,No,No,Yes,Yes,5.21,0.91,0.75,2.53,1.35,12.08,24338662
Delhi,Dwarka,3299,3,2,3,Yes,15,17,7,Semi-Furnished,South,No,Yes,No,Yes,Yes,No,4.65,6.54,5.27,6.59,10.22,1.83,31282439
Ghaziabad,Raj Nagar,3409,2,1,3,No,6,9,3,Unfurnished,South,No,Yes,No,Yes,No,No,3.05,5.23,1.64,6.21,10.87,6.06,30426949
Greater Noida,Gamma 1,1291,5,4,3,No,20,21,25,Fully Furnished,West,Yes,Yes,Yes,Yes,No,No,7.69,0.75,5.35,0.61,5.54,6.67,13482368
Ghaziabad,Raj Nagar,2687,2,2,0,Yes,18,20,0,Unfurnished,West,No,Yes,No,Yes,Yes,No,8.45,0.84,3.31,6.35,4.31,6.54,19937714
Noida,Sector 50,1788,4,3,2,No,23,30,7,Unfurnished,East,No,Yes,Yes,Yes,No,Yes,8.03,5.33,1.22,0.62,2.23,0.72,21313101
Faridabad,Green Fields,3657,3,2,2,Yes,23,30,8,Semi-Furnished,North,No,Yes,No,Yes,Yes,No,3.23,7.81,3.84,5.21,7.76,1.58,31426729
Noida,Sector 150,1094,3,2,0,Yes,23,28,0,Unfurnished,West,No,Yes,No,Yes,Yes,Yes,11.05,1.6,5.77,0.84,12.09,14.42,15563355
Noida,Sector 150,1466,4,4,2,Yes,18,24,3,Semi-Furnished,North,Yes,Yes,No,Yes,Yes,Yes,10.54,6.96,4.69,3.45,1.48,9.41,17263089
Gurugram,Sohna Road,3663,3,2,3,No,18,26,24,Semi-Furnished,South,No,Yes,Yes,Yes,Yes,Yes,6.54,5.16,4.22,0.59,5.16,15.3,54459128
Delhi,Janakpuri,2620,2,2,3,Yes,4,27,8,Unfurnished,North,No,Yes,Yes,Yes,No,No,6.11,5.17,2.49,6.12,1.12,13.42,29535966
Gurugram,Golf Course Road,3935,3,3,2,No,14,23,7,Unfurnished,South,Yes,Yes,Yes,Yes,Yes,Yes,5.45,2.65,0.9,3.9,11.6,9.31,65023846
Delhi,Dwarka,1095,3,2,1,No,4,7,22,Unfurnished,South,No,Yes,No,No,No,Yes,0.47,3.35,2.82,7.61,3.9,9.51,12860855
Delhi,Dwarka,3851,2,1,1,No,11,14,18,Semi-Furnished,South,Yes,Yes,No,Yes,Yes,Yes,1.19,6.81,4.89,1.66,14.15,1.49,63821268
Ghaziabad,Indirapuram,2017,4,3,2,Yes,5,14,8,Semi-Furnished,West,No,Yes,No,Yes,Yes,Yes,10.61,3.94,0.71,4.14,6.4,13.03,19173217
Noida,Sector 50,3705,1,2,2,No,17,30,15,Semi-Furnished,East,Yes,Yes,Yes,No,No,No,7.21,0.43,4.9,3.17,12.17,9.7,37071377
Noida,Sector 62,1465,2,2,0,Yes,18,25,11,Fully Furnished,North,No,Yes,No,Yes,Yes,Yes,8.47,2.94,3.49,1.85,14.24,16.82,21961944
Faridabad,Sector 37,1169,4,3,0,Yes,7,27,7,Unfurnished,East,Yes,Yes,Yes,No,Yes,No,8.63,7.37,5.1,3.57,0.52,11.94,11248331
Delhi,Pitampura,3975,3,2,2,No,18,20,10,Semi-Furnished,South,No,Yes,No,Yes,Yes,No,8.52,4.58,5.36,6.33,5.48,13.48,48434728
Gurugram,Golf Course Road,971,2,1,3,Yes,5,25,10,Fully Furnished,North,Yes,Yes,No,Yes,Yes,No,2.93,7.86,1.17,8.91,1.51,14.32,15929050
Delhi,Rohini,1308,2,1,2,No,25,26,23,Unfurnished,West,Yes,Yes,No,No,No,No,10.59,2.94,2.38,8.37,11.87,11.77,16396175
Ghaziabad,Indirapuram,3723,1,2,0,No,8,12,2,Semi-Furnished,West,Yes,Yes,No,No,Yes,Yes,8.48,3.56,3.99,6.27,6.63,1.54,25094458
Noida,Sector 78,3305,5,5,2,No,7,11,1,Semi-Furnished,West,No,Yes,Yes,No,Yes,Yes,1.14,6.63,3.83,5.06,1.64,4.54,43438712
Delhi,Saket,3906,1,2,3,No,15,30,21,Unfurnished,South,No,Yes,No,No,Yes,No,5.4,2.25,2.9,2.65,4.17,1.7,40420845
Greater Noida,Gamma 1,3760,5,5,1,Yes,12,29,13,Fully Furnished,West,No,Yes,Yes,No,Yes,No,10.84,5.77,3.11,9.05,12.05,13.71,27020569
Ghaziabad,Vaishali,4337,2,1,1,Yes,1,15,2,Fully Furnished,North,No,Yes,No,No,Yes,Yes,1.14,4.54,3.4,8.64,7.89,18.38,24860941
Ghaziabad,Indirapuram,2147,2,1,0,Yes,18,20,25,Unfurnished,West,No,Yes,No,No,No,No,0.55,2.35,1.03,6.28,10.47,1.26,18785714
Greater Noida,Beta 2,651,4,4,2,Yes,10,20,9,Unfurnished,West,Yes,Yes,No,No,Yes,Yes,9.31,2.7,4.43,6.25,1.52,9.11,8317571
Faridabad,Sector 37,3812,1,1,0,No,22,29,4,Semi-Furnished,South,Yes,Yes,Yes,Yes,Yes,Yes,0.49,0.59,2.29,2.39,5.65,9.55,25049480
Greater Noida,Alpha 1,1440,3,3,3,Yes,15,25,17,Semi-Furnished,West,No,Yes,Yes,Yes,No,Yes,0.69,6.86,4.72,2.54,3.48,4.89,11839429
Greater Noida,Knowledge Park,2552,1,1,3,Yes,20,23,19,Fully Furnished,West,No,Yes,No,Yes,No,No,10.23,3.78,1.47,3.37,7.91,12.66,15839984
Faridabad,Sector 37,2749,5,5,2,Yes,15,17,10,Fully Furnished,South,No,Yes,Yes,No,No,No,6.26,2.07,0.53,8.64,12.19,8.38,17762394
Greater Noida,Alpha 1,3134,4,4,2,No,12,25,23,Unfurnished,East,No,Yes,No,Yes,No,Yes,10.16,6.76,5.28,2.22,1.64,2.99,25047186
Noida,Sector 150,3130,1,1,2,Yes,23,30,9,Semi-Furnished,North,No,Yes,No,No,No,No,5.7,6.96,3.58,9.47,1.25,17.84,34741142
Greater Noida,Knowledge Park,2620,3,3,0,Yes,4,11,10,Semi-Furnished,West,Yes,Yes,Yes,No,Yes,No,4.06,7.9,2.02,1.05,6.89,4.58,19573282
Ghaziabad,Indirapuram,980,5,5,3,No,13,29,12,Unfurnished,North,No,Yes,Yes,Yes,No,Yes,8.15,5.09,1.64,7.09,5.3,3.01,8395153
Faridabad,Sector 37,1134,1,1,2,No,14,25,13,Fully Furnished,South,No,Yes,Yes,Yes,No,No,11.38,7.36,2.54,2.67,10.96,3.06,8357759
Faridabad,Green Fields,1142,1,2,0,No,20,25,24,Semi-Furnished,North,Yes,Yes,Yes,Yes,Yes,Yes,5.06,3.17,3.37,5.01,2.47,14.06,8006015
Gurugram,Sector 57,3160,1,2,1,No,3,20,23,Semi-Furnished,South,No,Yes,Yes,No,Yes,Yes,9.36,6.69,5.84,3.9,6.26,3.63,52442685
Greater Noida,Knowledge Park,1804,2,1,0,Yes,3,30,18,Semi-Furnished,South,Yes,Yes,No,Yes,Yes,Yes,5.54,7.82,1.73,0.98,12.24,17.55,15670944
Greater Noida,Gamma 1,2194,1,1,0,Yes,4,26,20,Unfurnished,East,Yes,Yes,No,No,No,No,2.28,3.33,5.78,3.08,5.91,17.09,19721236
Delhi,Janakpuri,3301,1,1,0,No,18,26,25,Semi-Furnished,South,No,Yes,Yes,No,Yes,No,5.85,4.01,5.35,4.69,1.14,13.27,30476424
Greater Noida,Pari Chowk,3414,5,4,2,Yes,13,21,15,Semi-Furnished,West,Yes,Yes,Yes,No,Yes,Yes,10.24,6.98,0.63,5.17,3.77,19.42,23146675
Noida,Sector 50,3085,4,4,1,Yes,14,29,25,Semi-Furnished,West,No,Yes,Yes,Yes,No,No,8.97,0.34,2.54,0.84,8.33,16.61,42243098
Faridabad,Green Fields,1297,4,4,2,Yes,7,22,10,Semi-Furnished,South,Yes,Yes,Yes,No,No,No,0.13,2.97,3.88,8.1,8.31,7.79,8331098
