Property_ID,City,Locality,Area_sqft,Bedrooms,Bathrooms,Balconies,Parking,Floor,Total_Floors,Property_Age,Furnishing,Facing,Gated_Society,Lift,Power_Backup,Security,Gym,Swimming_Pool,Metro_Distance_km,Hospital_Distance_km,School_Distance_km,Mall_Distance_km,Expressway_Distance_km,RRTS_Distance_km,Price_INR
PROP00086,Greater Noida,Beta 2,3570,2,1,3,No,2,21,3,Unfurnished,North,No,Yes,No,Yes,Yes,Yes,8.2,5.79,3.04,9.04,6.79,1.58,25066958
PROP00087,Ghaziabad,Crossings Republik,2759,1,2,2,Yes,12,21,0,Semi-Furnished,North,No,Yes,Yes,Yes,Yes,No,11.22,0.74,5.62,0.8,6.25,15.49,23728786
PROP00088,Gurugram,Sector 57,2287,4,4,0,Yes,20,26,3,Unfurnished,East,Yes,Yes,Yes,No,Yes,Yes,5.61,5.81,2.66,4.1,3.6,9.48,27678846
PROP00089,Noida,Sector 62,581,4,3,1,,2,6,19,Unfurnished,South,No,Yes,No,Yes,,Yes,,6.08,4.7,1.83,14.9,5.07,
PROP00090,Faridabad,Green Fields,3614,3,2,2,Yes,21,30,7,Semi-Furnished,North,No,Yes,No,No,Yes,Yes,11.67,7.54,4.09,7.97,4.92,8.62,20200065
PROP00091,Ghaziabad,Vaishali,3540,5,5,1,Yes,9,14,25,Semi-Furnished,South,Yes,Yes,No,Yes,No,No,3.13,2.78,0.66,4.77,5.69,10.94,31199248
PROP00092,Delhi,Rohini,1994,5,4,0,Yes,25,30,23,Semi-Furnished,North,No,Yes,No,Yes,No,Yes,2.62,1.68,4.5,7.6,11.36,18.33,26543297
PROP00093,Noida,Sector 50,1767,3,3,3,No,9,18,11,Semi-Furnished,South,No,Yes,No,No,No,Yes,4.51,3.43,3.46,2.6,2.36,5.59,22306852
PROP00094,Gurugram,DLF Phase 3,1253,3,2,3,Yes,15,24,20,Fully Furnished,South,No,Yes,No,No,No,No,8.82,2.95,1.01,5.69,2.92,17.84,13254677
PROP00095,Delhi,Dwarka,4321,1,1,3,Yes,20,24,2,Semi-Furnished,West,No,Yes,Yes,Yes,Yes,No,7.95,0.32,3.29,4.41,0.45,14.58,77715646
PROP00096,Delhi,Pitampura,3780,4,3,0,Yes,16,19,7,Unfurnished,East,No,Yes,Yes,No,No,No,11.52,3.78,1.61,7.12,4.64,16.65,39676047
PROP00097,Delhi,Saket,2003,4,4,0,Yes,22,25,2,Semi-Furnished,South,Yes,Yes,Yes,No,No,Yes,10.83,5.6,3.49,3.08,13.88,13.85,30365596
PROP00098,Faridabad,Sector 15,1184,3,2,1,Yes,24,30,12,Fully Furnished,West,No,Yes,No,No,Yes,Yes,9.09,1.29,5.93,7.38,7.61,19.5,7042157
PROP00099,Ghaziabad,Vaishali,3885,1,2,3,No,0,21,8,Semi-Furnished,West,No,Yes,No,No,No,Yes,2.31,4.77,2.4,7.84,4.57,5.31,21089231
PROP00100,Gurugram,DLF Phase 3,2006,2,2,2,No,3,6,0,Fully Furnished,North,Yes,Yes,Yes,No,No,No,2.33,3.7,3.42,4.38,0.59,7.4,22408923
PROP00101,Ghaziabad,Indirapuram,1645,4,4,0,Yes,18,27,5,Semi-Furnished,West,No,Yes,No,Yes,Yes,No,1.84,1.5,1.8,3.35,11.78,7.54,16682551
PROP00102,Greater Noida,Knowledge Park,2882,5,4,3,Yes,4,14,0,Fully Furnished,West,No,Yes,No,No,No,No,9.8,6.9,5.85,1.79,4.95,18.97,23596446
PROP00103,Gurugram,DLF Phase 3,4400,4,4,2,,18,22,10,Semi-Furnished,North,Yes,Yes,Yes,No,,Yes,,3.8,4.31,4.67,4.51,14.01,
PROP00104,Noida,Sector 150,1441,3,2,3,No,2,17,19,Semi-Furnished,North,No,Yes,Yes,No,No,Yes,9.25,5.33,2.26,6.65,0.86,19.68,19071168
PROP00105,Gurugram,Sector 57,883,1,1,2,Yes,16,28,16,Semi-Furnished,South,No,Yes,No,Yes,No,No,4.21,0.39,0.81,4.45,14.43,2.76,9780241
PROP00106,Gurugram,Golf Course Road,2315,2,2,2,No,3,18,23,Semi-Furnished,North,Yes,Yes,Yes,No,Yes,No,10.21,5.25,4.13,2.06,14.76,5.26,27401209
PROP00107,Noida,Sector 150,2743,4,4,1,No,20,23,5,Semi-Furnished,West,Yes,Yes,No,No,No,Yes,4.73,5.7,1.39,7.65,12.17,1.72,24344256
PROP00108,Noida,Sector 150,1785,2,2,0,No,21,29,16,Fully Furnished,East,Yes,Yes,No,No,No,No,10.16,5.02,4.92,7.21,4.6,12.48,14514698
PROP00109,Gurugram,DLF Phase 1,1427,3,2,1,No,22,25,16,Semi-Furnished,South,Yes,Yes,No,Yes,No,No,6.7,4.02,1.01,3.49,6.87,1.55,20993211
PROP00110,Ghaziabad,Vaishali,1249,4,4,3,No,13,28,15,Unfurnished,South,Yes,Yes,No,Yes,Yes,No,6.5,1.51,2.85,7.55,11.54,11.22,7812795
PROP00111,Gurugram,Sohna Road,3822,3,2,3,Yes,13,17,23,Fully Furnished,East,No,Yes,No,Yes,No,Yes,10.36,0.88,5.22,1.62,12.22,4.59,55838499
PROP00112,Noida,Sector 50,1020,2,1,0,No,17,22,19,Semi-Furnished,South,No,Yes,Yes,No,No,No,11.56,6.33,5.53,9.93,13.03,2.97,8222351
PROP00113,Noida,Sector 150,3843,2,2,3,Yes,18,29,8,Semi-Furnished,East,Yes,Yes,No,No,No,Yes,8.37,7.04,2.84,5.14,8.81,17.44,54762909
PROP00114,Greater Noida,Knowledge Park,3050,3,2,3,Yes,13,20,15,Unfurnished,North,No,Yes,No,No,No,Yes,0.65,5.08,5.05,0.65,13.96,3.58,28902367
PROP00115,Ghaziabad,Vaishali,3270,2,2,1,No,2,23,11,Unfurnished,South,No,Yes,No,No,Yes,Yes,5.21,0.91,0.75,2.53,1.35,12.08,24338662
PROP00116,Delhi,Dwarka,3299,3,2,3,Yes,15,17,7,Semi-Furnished,South,No,Yes,No,Yes,Yes,No,4.65,6.54,5.27,6.59,10.22,1.83,31282439
PROP00117,Ghaziabad,Raj Nagar,3409,2,1,3,No,6,9,3,Unfurnished,South,No,Yes,No,Yes,No,No,3.05,5.23,1.64,6.21,10.87,6.06,30426949
PROP00118,Greater Noida,Gamma 1,1291,5,4,3,No,20,21,25,Fully Furnished,West,Yes,Yes,Yes,Yes,No,No,7.69,0.75,5.35,0.61,5.54,6.67,13482368
PROP00119,Ghaziabad,Raj Nagar,2687,2,2,0,Yes,18,20,0,Unfurnished,West,No,Yes,No,Yes,Yes,No,8.45,0.84,3.31,6.35,4.31,6.54,19937714
PROP00120,Noida,Sector 50,1788,4,3,2,No,23,30,7,Unfurnished,East,No,Yes,Yes,Yes,No,Yes,8.03,5.33,1.22,0.62,2.23,0.72,21313101
PROP00121,Faridabad,Green Fields,3657,3,2,2,Yes,23,30,8,Semi-Furnished,North,No,Yes,No,Yes,Yes,No,3.23,7.81,3.84,5.21,7.76,1.58,31426729
PROP00122,Noida,Sector 150,1094,3,2,0,Yes,23,28,0,Unfurnished,West,No,Yes,No,Yes,Yes,Yes,11.05,1.6,5.77,0.84,12.09,14.42,15563355
PROP00123,Noida,Sector 150,1466,4,4,2,Yes,18,24,3,Semi-Furnished,North,Yes,Yes,No,Yes,Yes,Yes,10.54,6.96,4.69,3.45,1.48,9.41,17263089
PROP00124,Gurugram,Sohna Road,3663,3,2,3,No,18,26,24,Semi-Furnished,South,No,Yes,Yes,Yes,Yes,Yes,6.54,5.16,4.22,0.59,5.16,15.3,54459128
PROP00125,Delhi,Janakpuri,2620,2,2,3,Yes,4,27,8,Unfurnished,North,No,Yes,Yes,Yes,No,No,6.11,5.17,2.49,6.12,1.12,13.42,29535966
PROP00126,Gurugram,Golf Course Road,3935,3,3,2,No,14,23,7,Unfurnished,South,Yes,Yes,Yes,Yes,Yes,Yes,5.45,2.65,0.9,3.9,11.6,9.31,65023846
PROP00127,Delhi,Dwarka,1095,3,2,1,No,4,7,22,Unfurnished,South,No,Yes,No,No,No,Yes,0.47,3.35,2.82,7.61,3.9,9.51,12860855
PROP00128,Delhi,Dwarka,3851,2,1,1,No,11,14,18,Semi-Furnished,South,Yes,Yes,No,Yes,Yes,Yes,1.19,6.81,4.89,1.66,14.15,1.49,63821268
PROP00129,Ghaziabad,Indirapuram,2017,4,3,2,Yes,5,14,8,Semi-Furnished,West,No,Yes,No,Yes,Yes,Yes,10.61,3.94,0.71,4.14,6.4,13.03,19173217
PROP00130,Noida,Sector 50,3705,1,2,2,No,17,30,15,Semi-Furnished,East,Yes,Yes,Yes,No,No,No,7.21,0.43,4.9,3.17,12.17,9.7,37071377
PROP00131,Noida,Sector 62,1465,2,2,0,Yes,18,25,11,Fully Furnished,North,No,Yes,No,Yes,Yes,Yes,8.47,2.94,3.49,1.85,14.24,16.82,21961944
PROP00132,Faridabad,Sector 37,1169,4,3,0,Yes,7,27,7,Unfurnished,East,Yes,Yes,Yes,No,Yes,No,8.63,7.37,5.1,3.57,0.52,11.94,11248331
PROP00133,Delhi,Pitampura,3975,3,2,2,No,18,20,10,Semi-Furnished,South,No,Yes,No,Yes,Yes,No,8.52,4.58,5.36,6.33,5.48,13.48,48434728
PROP00134,Gurugram,Golf Course Road,971,2,1,3,Yes,5,25,10,Fully Furnished,North,Yes,Yes,No,Yes,Yes,No,2.93,7.86,1.17,8.91,1.51,14.32,15929050
PROP00135,Delhi,Rohini,1308,2,1,2,No,25,26,23,Unfurnished,West,Yes,Yes,No,No,No,No,10.59,2.94,2.38,8.37,11.87,11.77,16396175
PROP00136,Ghaziabad,Indirapuram,3723,1,2,0,No,8,12,2,Semi-Furnished,West,Yes,Yes,No,No,Yes,Yes,8.48,3.56,3.99,6.27,6.63,1.54,25094458
PROP00137,Noida,Sector 78,3305,5,5,2,No,7,11,1,Semi-Furnished,West,No,Yes,Yes,No,Yes,Yes,1.14,6.63,3.83,5.06,1.64,4.54,43438712
PROP00138,Delhi,Saket,3906,1,2,3,No,15,30,21,Unfurnished,South,No,Yes,No,No,Yes,No,5.4,2.25,2.9,2.65,4.17,1.7,40420845
PROP00139,Greater Noida,Gamma 1,3760,5,5,1,Yes,12,29,13,Fully Furnished,West,No,Yes,Yes,No,Yes,No,10.84,5.77,3.11,9.05,12.05,13.71,27020569
PROP00140,Ghaziabad,Vaishali,4337,2,1,1,Yes,1,15,2,Fully Furnished,North,No,Yes,No,No,Yes,Yes,1.14,4.54,3.4,8.64,7.89,18.38,24860941
PROP00141,Ghaziabad,Indirapuram,2147,2,1,0,Yes,18,20,25,Unfurnished,West,No,Yes,No,No,No,No,0.55,2.35,1.03,6.28,10.47,1.26,18785714
PROP00142,Greater Noida,Beta 2,651,4,4,2,Yes,10,20,9,Unfurnished,West,Yes,Yes,No,No,Yes,Yes,9.31,2.7,4.43,6.25,1.52,9.11,8317571
PROP00143,Faridabad,Sector 37,3812,1,1,0,No,22,29,4,Semi-Furnished,South,Yes,Yes,Yes,Yes,Yes,Yes,0.49,0.59,2.29,2.39,5.65,9.55,25049480
PROP00144,Greater Noida,Alpha 1,1440,3,3,3,Yes,15,25,17,Semi-Furnished,West,No,Yes,Yes,Yes,No,Yes,0.69,6.86,4.72,2.54,3.48,4.89,11839429
PROP00145,Greater Noida,Knowledge Park,2552,1,1,3,Yes,20,23,19,Fully Furnished,West,No,Yes,No,Yes,No,No,10.23,3.78,1.47,3.37,7.91,12.66,15839984
PROP00146,Faridabad,Sector 37,2749,5,5,2,Yes,15,17,10,Fully Furnished,South,No,Yes,Yes,No,No,No,6.26,2.07,0.53,8.64,12.19,8.38,17762394
